Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
[2023-03-09 21:01:40:16986][Test worker] INFO  c.m.a.n.c.NoticeControllerTest - Starting NoticeControllerTest using Java 11.0.14.1 on DESKTOP-1IEATUL with PID 8364 (started by THE-LEE in C:\Users\THE-LEE\Desktop\mapshot-api)
[2023-03-09 21:01:40:16987][Test worker] INFO  c.m.a.n.c.NoticeControllerTest - No active profile set, falling back to 1 default profile: "default"
[2023-03-09 21:01:40:17433][Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-03-09 21:01:40:17494][Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 1 JPA repository interfaces.
[2023-03-09 21:01:41:17839][Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2023-03-09 21:01:41:17862][Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-8 - Starting...
[2023-03-09 21:01:41:17872][Test worker] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
[2023-03-09 21:01:41:17884][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mapshot.api.notice.service.NoticeServiceTest], using SpringBootContextLoader
[2023-03-09 21:01:41:17887][Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mapshot.api.notice.service.NoticeServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[2023-03-09 21:01:41:17887][Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mapshot.api.notice.service.NoticeServiceTest]: NoticeServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[2023-03-09 21:01:41:17902][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mapshot.api.MapShotApiApplication for test class com.mapshot.api.notice.service.NoticeServiceTest
[2023-03-09 21:01:41:17904][Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
